Unnamed: 0,1_김포교통(기점가상),2_방화도시7단지.국립국어원,3_방화역,4_강서공업고등학교,5_방화동동부센트레빌아파트,6_국민은행방화동지점,7_방화2동우촌연립,8_방화2동청성아파트앞,9_공항시장역.공항성산교회,10_공항시장,11_롯데몰.김포공항역,12_김포공항국제선,13_한국공항공사,14_김포공항국내선,15_송정역,16_공항중학교.마곡엠밸리9.10단지,17_마곡역,18_이대서울병원,19_발산역.우장산힐스테이트,20_명덕고등학교.서울스타병원,21_우장산역,22_화곡중고등학교,23_대원시장,24_화곡역,25_화곡본동시장,26_한국폴리텍1.서울강서대학교,27_우장초등학교,28_강서구청.한국건강관리협회,29_하이웨이주유소.KC대학교,30_등촌중학교.한국임업진흥원,31_영일고등학교.강서도서관,32_아이파크아파트.백석중학교.실로암안과,33_등촌2동주민센터.등촌동대림아파트,34_대일고교.임광아파트.배광교회,35_용문사.시립화곡청소년센터,36_목동사거리,37_목동역.홍익병원,38_목동7단지,39_목동대학학원,40_오목교역.동신한방병원,41_관악고등학교,42_양평신동아아파트,43_교보앞,44_당산동진로아파트,45_김안과병원,46_경방타임스퀘어.신세계백화점,47_영등포역,48_영등포로터리,49_영등포시장입구,50_김안과병원,51_당산동진로아파트,52_양남동로타리,53_양평1동주민센터,54_관악고등학교,55_오목교역.동신한방병원,56_목동대학학원,57_목동7단지.종로학원,58_목동역.홍익병원,59_홍익병원목동관,60_목동사거리,61_영도중.강서고입구.기아양서대리점,62_목동시장.대일고교.배광교회,63_목동성원아파트,64_목3동주민센터.현대아이파크.실로암안과,65_목3동시장.강서도서관,66_등촌중학교백석초등학교,67_강서구청사거리.서울디지털대학교,68_강서구청.한국건강관리협회,69_우장초등학교,70_한국폴리텍1.서울강서대학교,71_화곡본동시장,72_화곡역1번출구,73_대원시장,74_화곡중고등학교,75_우장산역,76_명덕고등학교.서울스타병원,77_발산역.우장산힐스테이트,78_마곡동로사거리,79_마곡역,80_공항중학교.마곡엠밸리9.10단지,81_송정역,82_롯데몰.김포공항역,83_김포공항국제선,84_한국공항공사,85_김포공항국내선,86_공항시장,87_공항시장역3번출구,88_방화주유소,89_방신전통시장,90_국민은행방화동지점,91_방화동동부센트레빌아파트,92_방화동도시개발1.2단지아파트,93_방화역,94_방화3동주민센터.국립국어원,95_김포교통(종점가상),17_강서세무서,18_마곡역,19_이대서울병원,20_발산역.우장산힐스테이트,21_명덕고등학교.서울스타병원,22_우장산역,23_화곡중고등학교,24_대원시장,25_화곡역,26_화곡본동시장,27_한국폴리텍1.서울강서대학교,28_우장초등학교,29_강서구청.한국건강관리협회,30_하이웨이주유소.KC대학교,31_등촌중학교.한국임업진흥원,32_영일고등학교.강서도서관,33_아이파크아파트.백석중학교.실로암안과,34_등촌2동주민센터.등촌동대림아파트,35_대일고교.임광아파트.배광교회,36_용문사.시립화곡청소년센터,37_목동사거리,38_목동역.홍익병원,39_목동7단지,40_목동대학학원,41_오목교역.동신한방병원,42_관악고등학교,43_양평신동아아파트,44_교보앞,45_당산동진로아파트,46_김안과병원,47_경방타임스퀘어.신세계백화점,48_영등포역,49_영등포로터리,50_영등포시장입구,51_김안과병원,52_당산동진로아파트,53_양남동로타리,54_양평1동주민센터,55_관악고등학교,56_오목교역.동신한방병원,57_목동대학학원,58_목동7단지.종로학원,59_목동역.홍익병원,60_홍익병원목동관,61_목동사거리,62_영도중.강서고입구.기아양서대리점,63_목동시장.대일고교.배광교회,64_목동성원아파트,65_목3동주민센터.현대아이파크.실로암안과,66_목3동시장.강서도서관,67_등촌중학교백석초등학교,68_강서구청사거리.서울디지털대학교,69_강서구청.한국건강관리협회,70_우장초등학교,71_한국폴리텍1.서울강서대학교,72_화곡본동시장,73_화곡역1번출구,74_대원시장,75_화곡중고등학교,76_우장산역,77_명덕고등학교.서울스타병원,78_발산역.우장산힐스테이트,79_마곡동로사거리,80_마곡역,81_강서세무서,82_공항중학교.마곡엠밸리9.10단지,83_송정역,84_롯데몰.김포공항역,85_김포공항국제선,86_한국공항공사,87_김포공항국내선,88_공항시장,89_공항시장역3번출구,90_방화주유소,91_방신전통시장,92_국민은행방화동지점,93_방화동동부센트레빌아파트,94_방화동도시개발1.2단지아파트,95_방화역,96_방화3동주민센터.국립국어원,97_김포교통(종점가상)
2022-03-18 19:00:00,0,0,2,3,3,4,5,3,4,3,3,4,2,6,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.0,16.0,14.0,17.0,16.0,17.0,18.0,16.0,12.0,8.0,6.0,5.0,7.0,4.0,9.0,12.0,11.0,10.0,8.0,9.0,9.0,10.0,10.0,11.0,8.0,10.0,10.0,5.0,7.0,3.0,2.0,3.0,3.0,8.0,10.0,8.0,16.0,17.0,18.0,19.0,18.0,28.0,23.0,18.0,13.0,12.0,16.0,16.0,15.0,12.0,11.0,13.0,19.0,16.0,13.0,14.0,12.0,7.0,9.0,10.0,11.0,9.0,10.0,8.0,6.0,7.0,8.0,9.0,5.0,8.0,7.0,14.0,5.0,6.0,6.0,5.0,2.0,1.0,0.0,0.0
2022-03-18 20:00:00,0,1,1,2,2,1,3,3,2,3,4,1,3,8,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,10.0,12.0,12.0,10.0,9.0,12.0,3.0,10.0,9.0,6.0,5.0,7.0,6.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,5.0,6.0,3.0,3.0,5.0,4.0,6.0,5.0,3.0,4.0,3.0,2.0,0.0,5.0,7.0,7.0,8.0,9.0,10.0,15.0,16.0,21.0,19.0,16.0,16.0,9.0,13.0,11.0,13.0,11.0,7.0,6.0,8.0,7.0,6.0,7.0,10.0,8.0,6.0,12.0,14.0,15.0,6.0,4.0,3.0,1.0,3.0,4.0,1.0,4.0,3.0,6.0,4.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0
2022-03-18 21:00:00,0,0,2,1,2,3,0,2,1,0,3,4,0,3,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,13.0,14.0,13.0,12.0,14.0,15.0,13.0,15.0,9.0,8.0,11.0,12.0,7.0,14.0,13.0,11.0,9.0,7.0,6.0,6.0,4.0,5.0,7.0,6.0,6.0,5.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,4.0,4.0,0.0,4.0,6.0,12.0,15.0,16.0,11.0,11.0,9.0,12.0,13.0,13.0,12.0,7.0,13.0,5.0,5.0,4.0,5.0,6.0,4.0,5.0,6.0,9.0,7.0,14.0,13.0,8.0,6.0,2.0,4.0,3.0,0.0,4.0,3.0,4.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0
2022-03-18 22:00:00,0,0,1,3,2,1,2,0,1,1,1,0,2,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,10.0,10.0,15.0,16.0,19.0,21.0,23.0,23.0,20.0,18.0,18.0,16.0,15.0,13.0,10.0,8.0,7.0,5.0,7.0,4.0,4.0,6.0,8.0,7.0,5.0,5.0,4.0,1.0,0.0,4.0,3.0,5.0,6.0,1.0,6.0,5.0,6.0,5.0,11.0,14.0,20.0,18.0,13.0,8.0,12.0,10.0,9.0,7.0,5.0,4.0,10.0,9.0,8.0,5.0,5.0,5.0,6.0,9.0,15.0,17.0,15.0,15.0,13.0,9.0,5.0,4.0,0.0,0.0,4.0,5.0,7.0,5.0,6.0,5.0,4.0,2.0,0.0,0.0,0.0
2022-03-18 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,6.0,7.0,4.0,8.0,5.0,9.0,8.0,7.0,7.0,6.0,10.0,12.0,11.0,12.0,11.0,9.0,6.0,6.0,7.0,4.0,6.0,5.0,6.0,2.0,1.0,5.0,4.0,2.0,3.0,3.0,3.0,5.0,4.0,6.0,6.0,7.0,9.0,10.0,12.0,15.0,25.0,22.0,23.0,21.0,18.0,12.0,11.0,12.0,5.0,9.0,10.0,9.0,8.0,9.0,6.0,7.0,5.0,6.0,5.0,3.0,4.0,5.0,4.0,2.0,3.0,0.0,2.0,0.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
2022-03-19 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 04:00:00,0,0,0,2,0,0,5,4,4,5,0,0,3,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 05:00:00,0,1,0,3,4,5,2,3,1,2,0,2,0,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,4.0,2.0,5.0,3.0,5.0,2.0,6.0,5.0,4.0,5.0,2.0,3.0,4.0,3.0,2.0,5.0,1.0,6.0,4.0,4.0,3.0,5.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 06:00:00,0,0,0,1,2,2,3,0,4,3,2,2,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,3.0,3.0,5.0,6.0,2.0,2.0,3.0,5.0,7.0,7.0,9.0,8.0,6.0,0.0,6.0,5.0,2.0,4.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,4.0,3.0,5.0,6.0,3.0,5.0,7.0,5.0,6.0,5.0,4.0,4.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 07:00:00,0,1,1,2,1,1,3,2,3,3,0,2,1,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,5.0,6.0,6.0,7.0,6.0,0.0,4.0,4.0,9.0,11.0,15.0,16.0,11.0,10.0,9.0,8.0,5.0,6.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,4.0,1.0,2.0,0.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,0.0,1.0,6.0,5.0,4.0,4.0,5.0,3.0,2.0,6.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-03-19 08:00:00,0,1,0,1,0,2,0,4,4,2,3,2,3,3,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,6.0,7.0,5.0,7.0,7.0,6.0,8.0,10.0,11.0,12.0,15.0,15.0,16.0,16.0,18.0,21.0,25.0,26.0,27.0,25.0,18.0,14.0,12.0,11.0,10.0,10.0,8.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,6.0,4.0,2.0,0.0,5.0,2.0,6.0,8.0,10.0,12.0,13.0,10.0,11.0,11.0,12.0,15.0,14.0,15.0,12.0,12.0,8.0,7.0,6.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0
2022-03-19 09:00:00,0,1,1,3,2,5,6,7,6,5,2,0,1,3,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,10.0,8.0,7.0,6.0,6.0,8.0,9.0,8.0,9.0,11.0,16.0,18.0,18.0,19.0,19.0,24.0,23.0,23.0,29.0,27.0,22.0,20.0,16.0,13.0,15.0,14.0,5.0,6.0,4.0,2.0,1.0,0.0,3.0,6.0,3.0,6.0,7.0,7.0,7.0,9.0,3.0,10.0,7.0,6.0,11.0,13.0,15.0,20.0,21.0,18.0,17.0,12.0,14.0,18.0,16.0,14.0,10.0,10.0,10.0,9.0,8.0,6.0,3.0,0.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
2022-03-19 10:00:00,0,1,1,3,5,10,8,11,10,2,1,0,0,4,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,7.0,2.0,8.0,6.0,8.0,9.0,8.0,11.0,13.0,15.0,19.0,21.0,19.0,21.0,18.0,20.0,20.0,16.0,18.0,19.0,17.0,14.0,13.0,12.0,13.0,16.0,13.0,10.0,3.0,1.0,2.0,5.0,5.0,4.0,4.0,5.0,10.0,12.0,15.0,12.0,13.0,10.0,9.0,8.0,9.0,11.0,13.0,9.0,8.0,9.0,10.0,13.0,14.0,16.0,14.0,12.0,12.0,9.0,15.0,14.0,12.0,10.0,0.0,8.0,4.0,6.0,3.0,3.0,4.0,5.0,4.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0
2022-03-19 11:00:00,0,3,5,8,6,6,7,5,4,8,4,4,2,5,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,11.0,10.0,9.0,12.0,14.0,16.0,15.0,13.0,15.0,11.0,10.0,13.0,12.0,9.0,15.0,16.0,19.0,18.0,21.0,29.0,25.0,24.0,16.0,17.0,16.0,14.0,13.0,15.0,11.0,3.0,2.0,2.0,0.0,5.0,4.0,5.0,6.0,8.0,10.0,11.0,14.0,13.0,14.0,14.0,14.0,14.0,12.0,17.0,19.0,16.0,16.0,15.0,15.0,16.0,15.0,12.0,14.0,13.0,14.0,11.0,13.0,11.0,8.0,9.0,10.0,7.0,6.0,0.0,5.0,5.0,5.0,9.0,4.0,7.0,4.0,3.0,3.0,0.0,0.0,0.0
2022-03-19 12:00:00,0,2,1,3,5,4,4,1,3,3,6,4,5,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,8.0,9.0,11.0,11.0,11.0,11.0,13.0,11.0,10.0,9.0,11.0,11.0,13.0,14.0,15.0,14.0,13.0,12.0,16.0,20.0,21.0,19.0,21.0,19.0,16.0,16.0,16.0,14.0,13.0,3.0,1.0,3.0,4.0,6.0,0.0,5.0,6.0,4.0,4.0,7.0,12.0,14.0,13.0,7.0,14.0,14.0,14.0,16.0,17.0,14.0,13.0,11.0,11.0,16.0,15.0,15.0,12.0,13.0,14.0,14.0,15.0,8.0,11.0,9.0,8.0,7.0,7.0,5.0,4.0,7.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0
2022-03-19 13:00:00,0,2,3,4,5,7,10,3,8,3,6,7,6,9,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,8.0,9.0,14.0,15.0,13.0,14.0,12.0,11.0,13.0,9.0,11.0,12.0,8.0,13.0,11.0,14.0,11.0,17.0,17.0,15.0,17.0,14.0,14.0,13.0,11.0,14.0,13.0,8.0,4.0,3.0,2.0,4.0,6.0,6.0,6.0,7.0,8.0,8.0,11.0,13.0,14.0,13.0,13.0,16.0,13.0,15.0,16.0,14.0,13.0,12.0,11.0,15.0,16.0,15.0,18.0,19.0,15.0,15.0,15.0,15.0,13.0,10.0,9.0,7.0,6.0,6.0,0.0,4.0,8.0,10.0,11.0,10.0,10.0,7.0,5.0,3.0,1.0,0.0,0.0
2022-03-19 14:00:00,0,1,3,1,3,5,7,6,7,6,5,7,0,10,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,12.0,10.0,12.0,7.0,10.0,15.0,16.0,19.0,11.0,12.0,15.0,17.0,16.0,15.0,15.0,16.0,23.0,24.0,26.0,27.0,28.0,25.0,22.0,20.0,21.0,18.0,17.0,16.0,12.0,4.0,2.0,2.0,4.0,4.0,6.0,6.0,7.0,9.0,12.0,26.0,27.0,28.0,24.0,21.0,20.0,19.0,16.0,15.0,15.0,15.0,13.0,16.0,20.0,21.0,20.0,21.0,22.0,19.0,20.0,18.0,14.0,8.0,7.0,4.0,6.0,4.0,6.0,5.0,3.0,9.0,5.0,3.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0
2022-03-19 15:00:00,0,1,3,4,5,9,8,3,7,9,6,5,0,9,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,12.0,13.0,13.0,13.0,15.0,17.0,18.0,19.0,11.0,10.0,9.0,9.0,10.0,13.0,14.0,16.0,15.0,16.0,17.0,20.0,21.0,18.0,16.0,16.0,18.0,20.0,21.0,20.0,17.0,4.0,2.0,3.0,4.0,5.0,6.0,5.0,6.0,7.0,9.0,18.0,20.0,19.0,14.0,19.0,19.0,20.0,21.0,21.0,22.0,19.0,17.0,16.0,20.0,20.0,19.0,20.0,20.0,16.0,18.0,15.0,13.0,11.0,11.0,10.0,8.0,7.0,6.0,6.0,7.0,8.0,6.0,8.0,7.0,6.0,4.0,3.0,4.0,1.0,0.0,0.0
2022-03-19 16:00:00,0,2,3,5,5,10,1,11,8,9,11,10,9,7,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,13.0,14.0,15.0,16.0,10.0,12.0,15.0,14.0,17.0,18.0,14.0,13.0,11.0,10.0,12.0,12.0,14.0,14.0,13.0,17.0,18.0,20.0,19.0,19.0,17.0,18.0,19.0,18.0,15.0,5.0,4.0,6.0,10.0,14.0,5.0,9.0,4.0,8.0,9.0,15.0,21.0,33.0,32.0,26.0,26.0,22.0,22.0,19.0,19.0,20.0,18.0,14.0,16.0,16.0,14.0,17.0,15.0,14.0,15.0,17.0,20.0,19.0,18.0,9.0,14.0,10.0,12.0,13.0,12.0,10.0,6.0,10.0,10.0,4.0,8.0,6.0,3.0,1.0,0.0,0.0
2022-03-19 17:00:00,0,0,1,3,4,2,3,4,7,6,6,3,4,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,12.0,11.0,9.0,14.0,18.0,17.0,14.0,13.0,10.0,8.0,9.0,7.0,7.0,11.0,12.0,13.0,12.0,13.0,22.0,20.0,18.0,14.0,17.0,16.0,16.0,18.0,15.0,13.0,7.0,4.0,4.0,12.0,18.0,18.0,19.0,13.0,20.0,20.0,22.0,27.0,26.0,30.0,30.0,29.0,25.0,21.0,15.0,14.0,17.0,19.0,17.0,18.0,14.0,15.0,15.0,15.0,11.0,10.0,13.0,11.0,10.0,10.0,9.0,7.0,5.0,7.0,3.0,6.0,4.0,8.0,8.0,9.0,6.0,5.0,7.0,3.0,0.0,0.0,0.0
2022-03-19 18:00:00,0,1,2,2,1,4,6,0,5,5,6,4,3,7,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,14.0,15.0,17.0,8.0,14.0,19.0,20.0,15.0,12.0,7.0,9.0,10.0,12.0,3.0,18.0,18.0,16.0,18.0,24.0,23.0,17.0,11.0,6.0,10.0,9.0,8.0,5.0,7.0,6.0,7.0,5.0,8.0,15.0,22.0,23.0,22.0,24.0,24.0,24.0,27.0,29.0,38.0,34.0,30.0,27.0,23.0,20.0,14.0,14.0,15.0,15.0,12.0,12.0,18.0,13.0,12.0,10.0,11.0,14.0,12.0,11.0,8.0,12.0,8.0,7.0,5.0,8.0,0.0,0.0,7.0,8.0,7.0,7.0,6.0,5.0,3.0,3.0,2.0,0.0,0.0
2022-03-19 19:00:00,0,0,4,5,2,6,4,3,4,0,6,8,0,11,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,12.0,12.0,13.0,11.0,12.0,13.0,16.0,14.0,10.0,8.0,9.0,13.0,12.0,14.0,10.0,10.0,10.0,12.0,11.0,10.0,10.0,14.0,13.0,11.0,6.0,5.0,5.0,8.0,7.0,7.0,10.0,11.0,9.0,12.0,13.0,15.0,12.0,14.0,15.0,21.0,23.0,32.0,28.0,27.0,23.0,21.0,18.0,15.0,14.0,10.0,8.0,12.0,9.0,12.0,13.0,13.0,15.0,15.0,16.0,13.0,13.0,16.0,16.0,4.0,11.0,7.0,5.0,3.0,2.0,4.0,4.0,9.0,4.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0
2022-03-19 20:00:00,0,0,1,1,2,1,3,2,2,4,6,2,0,4,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,5.0,8.0,10.0,9.0,9.0,10.0,9.0,11.0,7.0,9.0,9.0,11.0,14.0,16.0,5.0,14.0,11.0,9.0,10.0,7.0,8.0,6.0,7.0,5.0,0.0,4.0,6.0,4.0,2.0,2.0,4.0,5.0,11.0,0.0,6.0,0.0,9.0,5.0,13.0,15.0,15.0,14.0,12.0,13.0,12.0,11.0,10.0,10.0,4.0,7.0,9.0,5.0,9.0,11.0,10.0,9.0,10.0,8.0,7.0,7.0,6.0,8.0,6.0,7.0,3.0,4.0,3.0,3.0,3.0,0.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0
